354, 60.4, -77.0, 40.0
355, 52.2, -67.0, 34.0
356, 43.1, -51.0, 27.0
357, 32.2, -27.0, 15.0
358, 82.7, -26.0, 31.0
359, 80.8, -29.0, 35.0
360, 70.6, -43.0, 49.0
361, 63.1, -51.0, 53.0
362, 58.0, -41.0, 47.0
363, 52.2, -35.0, 42.0
364, 45.1, -27.0, 36.0
365, 85.5, -21.0, 39.0
366, 83.5, -25.0, 44.0
367, 80.0, -31.0, 52.0
368, 69.8, -40.0, 63.0
369, 62.0, -39.0, 60.0
370, 53.7, -27.0, 50.0
371, 39.2, -13.0, 33.0
372, 89.8, -19.0, 42.0
373, 88.6, -22.0, 47.0
374, 87.5, -26.0, 55.0
375, 78.8, -40.0, 77.0
376, 70.2, -37.0, 73.0
377, 59.2, -25.0, 60.0
378, 39.6, -11.0, 36.0
379, 89.4, -14.0, 60.0
380, 87.8, -17.0, 72.0
381, 84.3, -20.0, 85.0
382, 82.0, -22.0, 85.0
383, 68.6, -14.0, 75.0
384, 59.6, -10.0, 65.0
385, 47.1, -4.0, 43.0
386, 91.4, -12.0, 60.0
387, 89.4, -16.0, 78.0
388, 89.0, -17.0, 82.0
389, 85.1, -22.0, 94.0
390, 74.1, -17.0, 86.0
391, 60.4, -9.0, 68.0
392, 50.6, -5.0, 54.0
393, 92.2, -10.0, 58.0
394, 90.6, -12.0, 78.0
395, 90.2, -13.0, 85.0
396, 87.1, -15.0, 99.0
397, 73.7, -10.0, 85.0
398, 66.3, -8.0, 75.0
399, 60.4, -4.0, 69.0
400, 77.6, 1.0, 5.0
401, 69.8, 1.0, 6.0
402, 62.4, 2.0, 6.0
403, 55.7, 2.0, 6.0
404, 47.1, 2.0, 7.0
405, 41.6, 2.0, 6.0
Black, 17.3, 1.0, 3.0
406, 76.9, 3.0, 4.0
407, 69.4, 3.0, 4.0
408, 59.2, 4.0, 4.0
409, 51.8, 5.0, 4.0
410, 44.7, 5.0, 5.0
411, 35.7, 6.0, 4.0
412, 20.4, 4.0, 3.0
413, 75.3, -1.0, 5.0
414, 69.0, -1.0, 5.0
415, 60.4, -2.0, 5.0
416, 52.9, -2.0, 6.0
417, 43.1, -2.0, 5.0
418, 34.9, -2.0, 5.0
419, 13.3, -1.0, 0.0
420, 80.8, 0.0, 0.0
421, 72.9, -1.0, 0.0
422, 66.3, -1.0, -1.0
423, 58.0, -1.0, -1.0
424, 47.8, -1.0, 0.0
425, 36.9, -1.0, -2.0
426, 15.7, -1.0, -2.0
427, 84.3, -1.0, -1.0
428, 79.6, -1.0, -2.0
429, 69.0, -2.0, -3.0
430, 55.3, -3.0, -5.0
431, 42.7, -3.0, -7.0
432, 25.5, -3.0, -8.0
433, 14.1, -2.0, -6.0
434, 80.4, 4.0, 1.0
435, 74.1, 5.0, 0.0
436, 64.7, 7.0, 0.0
437, 45.1, 9.0, 1.0
438, 31.4, 8.0, 3.0
439, 24.3, 6.0, 3.0
440, 20.0, 4.0, 3.0
441, 79.2, -4.0, 0.0
442, 69.4, -5.0, -1.0
443, 63.5, -5.0, -2.0
444, 51.0, -5.0, -2.0
445, 36.5, -4.0, -2.0
446, 28.6, -4.0, 0.0
447, 23.9, -2.0, 2.0
454, 79.6, -1.0, 16.0
453, 75.7, -1.0, 18.0
452, 69.0, -1.0, 23.0
451, 60.8, -1.0, 29.0
450, 32.5, 4.0, 24.0
449, 30.6, 3.0, 21.0
448, 28.2, 2.0, 16.0
461, 88.6, -3.0, 36.0
460, 85.9, -3.0, 45.0
459, 82.4, -3.0, 54.0
458, 80.0, -2.0, 57.0
457, 65.9, 2.0, 65.0
456, 59.6, 1.0, 53.0
455, 39.2, 2.0, 33.0
468, 82.4, 3.0, 22.0
467, 77.3, 5.0, 27.0
466, 71.4, 7.0, 30.0
465, 64.7, 10.0, 36.0
464, 43.5, 19.0, 37.0
463, 37.3, 15.0, 29.0
462, 31.8, 8.0, 20.0
475, 85.9, 10.0, 19.0
474, 83.5, 13.0, 22.0
473, 81.6, 16.0, 26.0
472, 71.8, 24.0, 37.0
471, 51.8, 34.0, 49.0
470, 47.1, 29.0, 41.0
469, 31.8, 17.0, 25.0
482, 82.0, 6.0, 11.0
481, 77.6, 8.0, 13.0
480, 71.4, 10.0, 16.0
479, 57.6, 16.0, 21.0
478, 32.9, 23.0, 23.0
477, 29.8, 18.0, 18.0
476, 25.5, 11.0, 13.0
489, 82.4, 15.0, 14.0
488, 80.0, 19.0, 16.0
487, 75.3, 26.0, 21.0
486, 69.8, 35.0, 27.0
485, 49.8, 69.0, 55.0
484, 38.0, 45.0, 35.0
483, 27.5, 25.0, 19.0
496, 84.3, 17.0, 2.0
495, 82.0, 21.0, 3.0
494, 74.5, 29.0, 4.0
493, 66.3, 35.0, 6.0
492, 36.1, 41.0, 21.0
491, 32.5, 35.0, 17.0
490, 24.7, 24.0, 11.0
503, 82.7, 14.0, 4.0
502, 80.0, 16.0, 3.0
501, 73.3, 21.0, 5.0
500, 63.1, 26.0, 7.0
499, 34.5, 25.0, 16.0
498, 30.2, 22.0, 13.0
497, 24.3, 15.0, 9.0
510, 81.6, 18.0, 1.0
509, 78.8, 22.0, 0.0
508, 75.7, 24.0, 1.0
507, 68.2, 29.0, -1.0
506, 34.9, 37.0, 4.0
505, 29.0, 31.0, 5.0
504, 23.5, 22.0, 5.0
